Mixed working style, Mixed working time(in %),Preferred mixed working time(in %),Compulsion to work onsite for sometime,Mandatory onsite work time(in %)
Yes,20,50,Unsure,0
No,50,50,Yes,50
Yes,90,20,No,0
Yes,50,30,No,0
Yes,40,50,Yes,50
No,50,50,Yes,40
Yes,20,20,Yes,80
No,50,50,No,0
Yes,50,40,Yes,30
No,50,50,Yes,50
No,50,50,No,0
No,50,50,Yes,50
Yes,80,100,Yes,20
Yes,20,20,Unsure,0
Yes,70,80,Yes,50
No,50,50,Yes,100
Yes,20,20,Yes,20
Yes,5,5,Yes,100
No,50,50,No,0
Yes,40,30,No,0
Yes,20,30,Yes,80
No,50,50,Yes,50
No,50,50,No,0
Yes,20,50,No,0
Yes,40,40,Yes,60
No,50,50,No,0
No,50,50,No,0
Yes,5,10,Yes,80
No,50,50,Yes,100
No,50,50,Unsure,0
Yes,5,50,Yes,100
Yes,10,40,Yes,10
Yes,40,60,No,0
Yes,50,60,Yes,60
No,50,50,No,0
Yes,100,100,No,0
Yes,50,50,Yes,30
Yes,5,10,No,0
No,50,50,No,0
No,50,50,No,0
No,50,50,Yes,100
Yes,50,50,Yes,50
Yes,50,50,Yes,50
Yes,40,50,Yes,50
Yes,5,20,Yes,20
Yes,10,5,Yes,50
No,50,50,No,0
Yes,5,10,No,0
Yes,20,60,Yes,20
Yes,70,70,Unsure,0
Yes,70,50,No,0
Yes,5,5,Yes,5
Yes,10,10,No,0
No,50,50,No,0
Yes,10,10,Yes,30
No,50,50,Unsure,0
Yes,10,10,No,0
No,50,50,No,0
Yes,60,50,Yes,60
No,50,50,Yes,50
Yes,5,5,No,0
Yes,20,100,Yes,40
Yes,10,5,Yes,20
Yes,10,10,Unsure,0
No,50,50,Yes,100
No,50,50,Yes,20
Yes,20,20,Yes,20
No,50,50,Yes,20
Yes,100,100,Yes,100
No,50,50,Yes,100
Yes,70,50,Yes,80
Yes,30,10,Yes,60
Yes,5,5,Yes,5
No,50,50,No,0
No,50,50,Yes,20
Yes,30,40,Yes,60
Yes,60,30,No,0
No,50,50,No,0
Yes,40,40,Yes,40
No,50,50,Yes,20
Yes,5,5,No,0
Yes,90,90,Yes,40
No,50,50,No,0
Yes,100,80,Yes,5
Yes,30,50,Yes,80
Yes,20,50,Yes,80
No,50,50,Yes,60
Yes,5,5,No,0
No,50,50,Yes,70
Yes,50,50,Yes,50
Yes,50,100,Yes,100
Yes,50,50,Unsure,0
Yes,30,5,Yes,20
No,50,50,No,0
No,50,50,Yes,80
Yes,90,50,Yes,80
No,50,50,Yes,10
Yes,30,20,Yes,30
No,50,50,No,0
Yes,20,60,Yes,80
Yes,50,40,Yes,30
Yes,40,60,Yes,50
No,50,50,No,0
Yes,20,20,Yes,20
Yes,5,10,Yes,80
No,50,50,Unsure,0
Yes,5,5,Yes,60
Yes,70,70,Yes,70
Yes,40,80,Yes,40
Yes,5,50,No,0
No,50,50,Unsure,0
Yes,10,10,No,0
Yes,40,40,Yes,40
Yes,20,20,Yes,40
Yes,40,80,Yes,20
No,50,50,No,0
Yes,10,10,Yes,10
No,50,50,Unsure,0
Yes,10,10,Yes,90
Yes,30,40,Yes,70
No,50,50,Yes,5
No,50,50,Yes,40
Yes,30,50,Yes,30
Yes,50,20,Unsure,0
Yes,30,80,Unsure,0
No,50,50,No,0
Yes,40,20,No,0
Yes,90,60,No,0
Yes,40,60,Unsure,0
Yes,5,20,Yes,30
Yes,50,40,Yes,100
Yes,30,40,Yes,20
Yes,10,5,No,0
Yes,5,5,No,0
No,50,50,No,0
Yes,10,10,Unsure,0
No,50,50,Yes,100
No,50,50,Yes,40
Yes,40,80,Yes,30
No,50,50,No,0
Yes,50,40,Yes,60
Yes,80,80,No,0
No,50,50,Yes,100
Yes,5,80,Yes,80
No,50,50,Yes,100
No,50,50,Yes,60
Yes,10,10,Yes,30
Yes,40,50,Yes,40
No,50,50,No,0
No,50,50,No,0
Yes,50,20,Yes,30
Yes,100,100,Yes,100
No,50,50,Yes,100
Yes,30,20,Yes,80
Yes,10,5,No,0
Yes,20,20,Yes,20
Yes,20,80,Yes,60
No,50,50,Yes,20
Yes,5,5,Unsure,0
Yes,30,30,No,0
Yes,40,50,No,0
Yes,10,20,Yes,100
No,50,50,Yes,50
Yes,20,20,Yes,20
Yes,90,90,Yes,10
Yes,10,10,Unsure,0
No,50,50,Yes,60
No,50,50,Unsure,0
No,50,50,No,0
Yes,50,70,Yes,30
Yes,80,60,Yes,70
No,50,50,Yes,30
No,50,50,No,0
No,50,50,Yes,100
No,50,50,Unsure,0
Yes,20,50,No,0
Yes,20,20,Yes,50
Yes,80,80,Yes,70
No,50,50,Yes,60
Yes,40,50,Yes,50
Yes,20,30,No,0
Yes,40,50,Yes,20
Yes,20,20,No,0
Yes,30,50,Yes,100
No,50,50,Yes,20
Yes,10,5,Yes,20
Yes,50,50,Yes,50
No,50,50,Yes,80
No,50,50,Yes,5
No,50,50,No,0
No,50,50,Unsure,0
Yes,90,90,No,0
No,50,50,No,0
Yes,60,60,Unsure,0
Yes,50,30,Yes,70
No,50,50,No,0
No,50,50,Unsure,0
Yes,30,80,Yes,30
Yes,30,30,Yes,20
Yes,20,20,Yes,20
Yes,40,30,Yes,20
Yes,30,30,Unsure,0
Yes,50,50,Yes,30
Yes,60,60,Yes,40
Yes,70,30,Yes,20
Yes,50,80,Yes,50
No,50,50,Unsure,0
Yes,20,20,Yes,20
Yes,5,50,Yes,100
Yes,5,5,No,0
Yes,20,20,No,0
No,50,50,Yes,20
Yes,30,50,No,0
Yes,5,10,No,0
No,50,50,No,0
Yes,5,30,No,0
Yes,50,50,Yes,50
Yes,10,70,Unsure,0
Yes,5,5,Yes,20
No,50,50,Yes,40
Yes,80,100,No,0
Yes,70,100,No,0
Yes,20,5,Unsure,0
Yes,5,100,Yes,100
Yes,5,5,No,0
Yes,5,5,Yes,5
Yes,5,20,No,0
No,50,50,No,0
Yes,60,80,Yes,40
Yes,5,5,Yes,40
No,50,50,No,0
Yes,5,5,No,0
Yes,30,10,Yes,20
Yes,100,50,Yes,50
Yes,5,5,No,0
No,50,50,Unsure,0
Yes,50,10,Yes,80
Yes,5,10,Yes,40
Yes,10,20,Unsure,0
No,50,50,Unsure,0
Yes,5,5,No,0
No,50,50,No,0
Yes,30,30,Yes,70
Yes,5,30,No,0
Yes,5,5,No,0
Yes,20,30,Yes,50
Yes,50,50,Unsure,0
Yes,20,10,Yes,40
No,50,50,No,0
No,50,50,Unsure,0
No,50,50,Yes,60
No,50,50,Yes,20
Yes,50,5,Yes,50
No,50,50,No,0
No,50,50,No,0
Yes,5,5,Unsure,0
Yes,20,20,Yes,20
Yes,10,5,Unsure,0
Yes,10,10,Yes,20
Yes,20,40,Yes,20
No,50,50,No,0
No,50,50,No,0
No,50,50,Unsure,0
Yes,30,100,Yes,20
Yes,20,20,No,0
Yes,5,5,Yes,20
No,50,50,No,0
No,50,50,No,0
No,50,50,No,0
No,50,50,Yes,100
Yes,20,20,Unsure,0
Yes,50,50,No,0
No,50,50,Yes,60
No,50,50,Yes,20
No,50,50,Unsure,0
No,50,50,Yes,60
No,50,50,No,0
No,50,50,Yes,20
Yes,90,90,No,0
Yes,5,5,Yes,40
Yes,5,20,Unsure,0
No,50,50,No,0
No,50,50,No,0
No,50,50,No,0
No,50,50,Yes,20
No,50,50,No,0
Yes,5,5,Yes,40
No,50,50,No,0
Yes,10,80,Yes,100
No,50,50,Yes,100
No,50,50,Unsure,0
Yes,50,70,Yes,50
Yes,40,50,Yes,40
Yes,5,10,Yes,10
No,50,50,Yes,20
No,50,50,Yes,90
No,50,50,Unsure,0
Yes,5,5,Yes,60
No,50,50,No,0
No,50,50,Yes,20
No,50,50,Yes,40
Yes,100,80,No,0
Yes,5,5,Yes,100
No,50,50,Yes,40
Yes,5,5,Unsure,0
Yes,50,50,No,0
No,50,50,Unsure,0
Yes,20,50,Yes,30
No,50,50,Unsure,0
No,50,50,No,0
Yes,80,80,No,0
Yes,20,80,Yes,80
No,50,50,Unsure,0
Yes,20,20,No,0
Yes,90,90,No,0
Yes,20,40,Unsure,0
No,50,50,No,0
Yes,10,20,Yes,60
Yes,5,100,No,0
Yes,5,5,No,0
Yes,5,5,Yes,50
Yes,50,50,Yes,50
No,50,50,No,0
Yes,50,50,No,0
Yes,20,20,Yes,40
No,50,50,Yes,20
No,50,50,Unsure,0
Yes,90,90,Yes,90
Yes,5,10,Yes,60
Yes,90,80,No,0
Yes,50,100,Yes,50
Yes,20,20,Unsure,0
No,50,50,No,0
Yes,5,5,Yes,40
Yes,50,50,Yes,100
Yes,50,50,No,0
Yes,20,20,Yes,60
No,50,50,Yes,10
Yes,20,50,Yes,60
No,50,50,Unsure,0
Yes,5,5,No,0
No,50,50,No,0
Yes,20,20,Unsure,0
Yes,20,50,No,0
Yes,40,40,Yes,40
No,50,50,Yes,90
Yes,5,5,Yes,100
No,50,50,Yes,50
No,50,50,Unsure,0
No,50,50,Yes,50
Yes,50,50,Yes,50
Yes,70,80,Yes,40
No,50,50,Yes,100
Yes,100,80,No,0
No,50,50,No,0
Yes,20,5,Yes,20
No,50,50,Yes,20
Yes,10,5,Yes,10
Yes,5,5,Yes,60
Yes,5,5,No,0
No,50,50,Unsure,0
Yes,50,50,Yes,50
No,50,50,No,0
Yes,60,40,Yes,30
No,50,50,No,0
No,50,50,Yes,5
Yes,80,40,Unsure,0
Yes,100,100,Yes,100
No,50,50,No,0
Yes,20,20,No,0
No,50,50,No,0
Yes,60,50,Yes,80
Yes,20,20,Yes,40
Yes,30,50,No,0
Yes,20,5,No,0
No,50,50,Yes,80
Yes,50,50,Yes,50
Yes,50,50,Yes,50
Yes,5,5,Yes,5
No,50,50,No,0
Yes,20,30,Yes,90
No,50,50,Yes,5
Yes,100,80,Yes,50
No,50,50,No,0
No,50,50,Unsure,0
Yes,60,80,Yes,80
No,50,50,Unsure,0
No,50,50,Yes,40
Yes,5,5,Yes,50
Yes,50,20,No,0
Yes,50,50,No,0
No,50,50,No,0
Yes,40,5,Yes,80
Yes,5,40,Yes,60
Yes,5,5,No,0
Yes,5,20,No,0
Yes,5,5,Unsure,0
No,50,50,Yes,80
Yes,50,50,No,0
No,50,50,No,0
Yes,50,100,No,0
No,50,50,No,0
Yes,20,40,No,0
Yes,70,20,Unsure,0
No,50,50,Yes,40
Yes,5,5,Yes,90
No,50,50,Yes,40
Yes,20,5,Yes,50
Yes,5,50,No,0
Yes,10,20,Yes,60
No,50,50,Yes,90
Yes,50,40,Yes,50
Yes,5,5,Yes,40
No,50,50,Yes,20
Yes,5,5,No,0
No,50,50,No,0
Yes,5,5,Yes,5
No,50,50,Yes,100
No,50,50,No,0
Yes,20,30,Yes,50
Yes,40,40,Yes,40
Yes,5,5,Yes,20
Yes,30,100,Yes,60
Yes,20,50,Yes,80
No,50,50,Unsure,0
Yes,20,10,Yes,40
Yes,5,5,Yes,100
Yes,20,20,Yes,20
Yes,50,50,Yes,50
Yes,5,5,Yes,60
Yes,5,5,Yes,50
No,50,50,Yes,50
Yes,90,100,No,0
No,50,50,No,0
No,50,50,Yes,100
No,50,50,Unsure,0
No,50,50,Yes,100
Yes,20,20,Unsure,0
No,50,50,No,0
No,50,50,No,0
Yes,100,90,Yes,100
Yes,5,5,Unsure,0
Yes,40,40,No,0
No,50,50,Yes,10
No,50,50,Yes,90
Yes,90,80,Yes,80
Yes,20,20,No,0
No,50,50,No,0
Yes,100,90,Yes,100
Yes,70,70,No,0
Yes,40,90,Yes,60
No,50,50,No,0
No,50,50,No,0
Yes,5,5,Yes,40
Yes,20,60,Yes,20
Yes,5,5,No,0
No,50,50,No,0
Yes,20,20,Yes,20
Yes,10,5,Unsure,0
No,50,50,No,0
No,50,50,Yes,50
No,50,50,Unsure,0
Yes,5,5,Yes,90
Yes,5,5,No,0
No,50,50,Yes,60
No,50,50,Unsure,0
Yes,10,20,No,0
No,50,50,No,0
No,50,50,No,0
No,50,50,No,0
Yes,50,50,No,0
No,50,50,Unsure,0
Yes,90,90,Yes,80
Yes,5,30,Yes,100
No,50,50,No,0
Yes,10,10,No,0
Yes,10,10,No,0
No,50,50,No,0
Yes,50,50,Yes,50
No,50,50,No,0
Yes,30,20,Yes,30
No,50,50,No,0
Yes,40,70,Yes,60
No,50,50,No,0
Yes,5,10,Yes,100
Yes,100,70,Unsure,0
Yes,50,60,Unsure,0
Yes,80,50,No,0
Yes,100,100,No,0
No,50,50,Yes,100
No,50,50,No,0
Yes,5,20,Yes,100
Yes,90,50,No,0
Yes,50,100,No,0
No,50,50,No,0
Yes,60,50,Yes,50
Yes,5,5,Yes,40
Yes,5,5,No,0
No,50,50,No,0
Yes,50,20,Yes,50
No,50,50,Yes,80
Yes,20,5,No,0
Yes,5,40,No,0
No,50,50,Yes,100
Yes,5,90,No,0
No,50,50,Yes,90
Yes,5,5,No,0
No,50,50,Yes,60
No,50,50,Yes,80
No,50,50,Yes,60
Yes,5,10,No,0
Yes,10,10,No,0
No,50,50,No,0
No,50,50,No,0
Yes,20,10,Yes,30
No,50,50,Unsure,0
No,50,50,Yes,40
No,50,50,No,0
Yes,10,10,Yes,10
Yes,5,20,No,0
No,50,50,Unsure,0
No,50,50,No,0
Yes,100,50,Yes,60
Yes,5,5,Yes,40
No,50,50,No,0
No,50,50,Yes,100
No,50,50,No,0
Yes,70,70,Yes,80
Yes,50,50,Yes,50
Yes,30,20,Yes,10
